Date,Actual,Holiday
2012-03-30,648.544,
2012-03-31,0,
2012-04-01,0,
2012-04-02,796.606,
2012-04-03,599.96,
2012-04-04,627.702,
2012-04-05,591.151,
2012-04-06,451.498,
2012-04-07,49.256,
2012-04-08,0,
2012-04-09,1.718,
2012-04-10,911.68,
2012-04-11,704.376,
2012-04-12,637.62,
2012-04-13,629.665,
2012-04-14,69.885,
2012-04-15,0,
2012-04-16,773.855,
2012-04-17,700.968,
2012-04-18,745.165,
2012-04-19,761.75,
2012-04-20,818.924,
2012-04-21,95.111,
2012-04-22,0,
2012-04-23,831.461,
2012-04-24,671.239,
2012-04-25,787.654,
2012-04-26,693.052,
2012-04-27,624.981,
2012-04-28,72.585,
2012-04-29,0,
2012-04-30,0,
2012-05-01,903.3,
2012-05-02,738.506,
2012-05-03,769.958,
2012-05-04,693.703,
2012-05-05,87.816,
2012-05-06,0,
2012-05-07,751.571,
2012-05-08,712.461,
2012-05-09,705.95,
2012-05-10,600.46,
2012-05-11,606.28,
2012-05-12,51.987,
2012-05-13,0,
2012-05-14,785.135,
2012-05-15,754.989,
2012-05-16,858.779,
2012-05-17,9.462,
2012-05-18,604.866,
2012-05-19,84.853,
2012-05-20,0,
2012-05-21,908.935,
2012-05-22,687.681,
2012-05-23,658.248,
2012-05-24,638.201,
2012-05-25,693.791,
2012-05-26,63.422,
2012-05-27,0,
2012-05-28,0,
2012-05-29,918.091,
2012-05-30,782.724,
2012-05-31,0,
2012-06-01,726.02,
2012-06-02,81.597,
2012-06-03,0,
2012-06-04,1038.167,
2012-06-05,649.893,
2012-06-06,691.168,
2012-06-07,641.913,
2012-06-08,608.538,
2012-06-09,93.377,
2012-06-10,0,
2012-06-11,836.766,
2012-06-12,604.669,
2012-06-13,576.208,
2012-06-14,590.673,
2012-06-15,731.611,
2012-06-16,73.755,
2012-06-17,0,
2012-06-18,949.841,
2012-06-19,699.007,
2012-06-20,663.266,
2012-06-21,641.482,
2012-06-22,713.055,
2012-06-23,79.341,
2012-06-24,0,
2012-06-25,954.582,
2012-06-26,980.039,
2012-06-27,902.554,
2012-06-28,680.411,
2012-06-29,716.104,
2012-06-30,0,
2012-07-01,0,
2012-07-02,899.313,
2012-07-03,688.581,
2012-07-04,568.902,
2012-07-05,662.383,
2012-07-06,577.102,
2012-07-07,54.401,
2012-07-08,0,
2012-07-09,870.847,
2012-07-10,561.342,
2012-07-11,577.937,
2012-07-12,561.423,
2012-07-13,535.114,
2012-07-14,70.616,
2012-07-15,0,
2012-07-16,751.847,
2012-07-17,534.931,
2012-07-18,591.002,
2012-07-19,625.447,
2012-07-20,532.231,
2012-07-21,70.629,
2012-07-22,0,
2012-07-23,587.253,
2012-07-24,481.37,
2012-07-25,479.086,
2012-07-26,575.605,
2012-07-27,511.018,
2012-07-28,69.59,
2012-07-29,1.718,
2012-07-30,778.981,
2012-07-31,0,
2012-08-01,574.166,
2012-08-02,552.506,
2012-08-03,501.65,
2012-08-04,57.294,
2012-08-05,0,
2012-08-06,675.866,
2012-08-07,577.978,
2012-08-08,561.052,
2012-08-09,497.763,
2012-08-10,468.484,
2012-08-11,52.599,
2012-08-12,0,
2012-08-13,655.392,
2012-08-14,524.24,
2012-08-15,632.842,
2012-08-16,640.123,
2012-08-17,526.659,
2012-08-18,67.288,
2012-08-19,0,
2012-08-20,676.712,
2012-08-21,537.76,
2012-08-22,649.619,
2012-08-23,605.855,
2012-08-24,485.897,
2012-08-25,72.36,
2012-08-26,0,
2012-08-27,865.267,
2012-08-28,505.276,
2012-08-29,655.987,
2012-08-30,652.266,
2012-08-31,0,
2012-09-01,95.052,
2012-09-02,0,
2012-09-03,793.811,
2012-09-04,540.534,
2012-09-05,616.545,
2012-09-06,561.55,
2012-09-07,528.227,
2012-09-08,63.744,
2012-09-09,0,
2012-09-10,688.644,
2012-09-11,708.404,
2012-09-12,575.081,
2012-09-13,553.75,
2012-09-14,570.933,
2012-09-15,72.878,
2012-09-16,0,
2012-09-17,732.242,
2012-09-18,625.562,
2012-09-19,681.388,
2012-09-20,635.431,
2012-09-21,560.326,
2012-09-22,65.268,
2012-09-23,0,
2012-09-24,864.269,
2012-09-25,620.089,
2012-09-26,670.992,
2012-09-27,618.147,
2012-09-28,604.052,
2012-09-29,70.616,
2012-09-30,0,
2012-10-01,791.138,
